label,area,eccentricity,bacteria,yfit
1,3,0.816496580927726,0,0
2,18,0.816314271712063,0,0
3,41,0.939693957761183,0,0
4,11,0.802996613969133,0,0
5,63,0.875415747070941,0,0
6,12,0,0,0
7,80,0.609306451494188,0,1
8,5,0,0,0
9,47,0.966991219804296,0,0
10,10,0.683130051063973,0,0
11,139,0.953885914682351,0,0
12,12,0.83050719314685,0,0
13,4,0.790569415042095,0,0
14,43,0.701261118283186,0,0
15,8,0.918558653543692,0,0
16,104,0.666941086506796,0,1
17,6,0.870388279778489,0,0
18,45,0.935040023382533,0,0
19,36,0.96248298817726,0,0
20,13,0.72966086717678,0,0
21,6,0.870388279778489,0,0
22,19,0.507528349251179,0,0
23,9,0.805076485899413,0,0
24,43,0.772909814033009,0,0
25,21,0.838419850555191,0,0
26,7,0.377964473009227,0,0
27,75,0.90526022307212,0,0
28,8,0.918558653543692,0,0
29,64,0.715681865374374,0,0
30,61,0.812760549757103,0,0
31,165,0.941223929857124,0,0
32,9,0.908122385603411,0,0
33,7,0.377964473009227,0,0
34,40,0.880092579826538,0,0
35,17,0.882832687095935,0,0
36,47,0.696304119962267,0,0
37,10,0.766214893754198,0,0
38,6,0.870388279778489,0,0
39,4,0.790569415042095,0,0
40,38,0.731513773823933,0,0
41,12,0.767578652189816,0,0
42,18,0.91190140415318,0,0
43,30,0.478337863139148,0,0
44,4,0.790569415042095,0,0
45,12,0.865757183082745,0,0
46,66,0.818850746806739,0,0
47,4,0.790569415042095,0,0
48,4,0.790569415042095,0,0
49,4,0.790569415042095,0,0
50,6,0.870388279778489,0,0
51,16,0.679620046843638,0,0
52,4,0.790569415042095,0,0
53,33,0.876725799973943,0,0
54,102,0.736055344808949,0,1
55,4,0.790569415042095,0,0
56,47,0.879858083794214,0,0
57,14,0.857386031133705,0,0
58,8,0.747102836415358,0,0
59,8,0.577350269189626,0,0
60,11,0.819334278607287,0,0
61,69,0.861664748855978,0,0
62,57,0.697600225231068,0,0
63,10,0.97133537698896,0,0
64,29,0.936676130466335,0,0
65,11,0.912870929175277,0,0
66,112,0.805245892560038,0,0
67,17,0.825659122046325,0,0
68,4,0.790569415042095,0,0
69,10,0.945163125250522,0,0
70,8,0.747102836415358,0,0
71,100,0.949125513454387,0,0
72,6,0.870388279778489,0,0
73,13,0.523556754446835,0,0
74,19,0.654065941091281,0,0
75,4,0.790569415042095,0,0
76,6,0.870388279778489,0,0
77,33,0.857586428055951,0,0
78,12,0.377964473009227,0,0
79,152,0.93287970750638,0,0
80,4,0.790569415042095,0,0
81,5,0,0,0
82,83,0.568255166425217,0,1
83,13,0.861483544085289,0,0
84,705,0.532060596290633,0,1
85,4,0.790569415042095,0,0
86,12,0.828047164073919,0,0
87,55,0.767294560499752,0,0
88,6,0.870388279778489,0,0
89,22,0.738689709686431,0,0
90,8,0.918558653543692,0,0
91,9,0.694587520362341,0,0
92,23,0.757340389868603,0,0
93,6,0.870388279778489,0,0
94,6,0.870388279778489,0,0
95,6,0.870388279778489,0,0
96,145,0.913934417810075,0,0
97,18,0.851391640120882,0,0
98,62,0.923858240536362,0,0
99,10,0.800471412377782,0,0
100,52,0.946347832410123,0,0
101,9,0.694587520362341,0,0
102,33,0.802558916939351,0,0
103,24,0.77491935856303,0,0
104,10,0.616441400296898,0,0
105,15,0.935585185414383,0,0
106,110,0.905083625639852,0,0
107,4,0.790569415042095,0,0
108,8,0.816496580927726,0,0
109,4,0.790569415042095,0,0
110,22,0.925932753668667,0,0
111,52,0.872561165554292,0,0
112,30,0.678227572189738,0,0
113,63,0.888149038030875,0,0
114,4,0.790569415042095,0,0
115,13,0.849643155168251,0,0
116,35,0.547152703944146,0,0
117,30,0.959766903035533,0,0
118,30,0.775824422438886,0,0
119,11,0.819334278607287,0,0
120,64,0.929562280808012,0,0
121,48,0.917912392516452,0,0
122,4,0.790569415042095,0,0
123,11,0.802996613969133,0,0
124,12,0.83050719314685,0,0
125,108,0.876875579585071,0,0
126,667,0.980530801573655,0,1
127,14,0.702119428069128,0,0
128,40,0.908243901971773,0,0
129,21,0.907732656403005,0,0
130,4,0.790569415042095,0,0
131,4,0.790569415042095,0,0
132,8,0.747102836415358,0,0
133,14,0.711486503177345,0,0
134,24,0.759308071549216,0,0
135,93,0.765775840008706,0,0
136,5,0,0,0
137,33,0.815094973215568,0,0
138,4,0.790569415042095,0,0
139,11,0.912870929175277,0,0
140,43,0.962480664056575,0,0
141,7,0.377964473009227,0,0
142,142,0.954551987922424,0,0
143,4,0.790569415042095,0,0
144,38,0.484532789218326,0,0
145,7,0.377964473009227,0,0
146,4,0.790569415042095,0,0
147,17,0.974852592577971,0,0
148,8,0.918558653543692,0,0
149,69,0.893462094014965,0,0
150,17,0.773980362124357,0,0
151,4,0.790569415042095,0,0
152,4,0.790569415042095,0,0
153,18,0.935653253224098,0,0
154,8,0.747102836415358,0,0
155,4,0.790569415042095,0,0
156,14,0.933891522300935,0,0
