label,area,eccentricity,yfit
1,9,0.805076485899413,0
2,9,0.805076485899413,0
3,21,0.521640530957301,0
4,152,0.794176156693878,1
5,28,0.487189989227111,0
6,13,0,0
7,13,0,0
8,18,0.397359707119513,0
9,13,0,0
10,39,0.888653896464684,0
11,13,0,0
12,23,0.708664665903118,0
13,13,0,0
14,56,0.589558168296345,1
15,79,0.867754425552094,0
16,13,0,0
17,13,0,0
18,23,0.708664665903118,0
19,26,0.893215503122315,0
20,114,0.925269580196191,0
21,13,0,0
22,35,0.695120339536218,0
23,29,0.634493865244346,0
24,13,0,0
25,23,0.708664665903118,0
26,30,0.805220690618998,0
27,29,0.660084510099352,0
28,13,0,0
29,13,0,0
30,13,0,0
31,47,0.924694661980733,0
32,13,0,0
33,54,0.896485716088487,0
34,27,0.848666014693615,0
35,13,0,0
36,78,0.97563896007302,0
37,39,0.762631157234065,0
38,24,0.672497203155418,0
39,13,0,0
40,18,0.397359707119513,0
41,26,0.786595994835162,0
42,13,0,0
43,68,0.939194821227179,0
44,18,0.397359707119513,0
45,56,0.911549371372279,0
46,49,0.906154389892438,0
47,13,0,0
48,40,0.914213126985768,0
49,21,0.521640530957301,0
50,31,0.779893136858478,0
51,42,0.678396985336337,0
52,13,0,0
53,13,0,0
54,41,0.874016326170265,0
55,67,0.912357843867256,0
56,13,0,0
57,28,0.834253758429656,0
58,13,0,0
59,73,0.978507637995623,0
60,13,0,0
61,13,0,0
62,227,0.96454108358855,0
63,634,0.528066395378869,1
64,102,0.954742818093137,0
65,45,0.830163397325537,0
66,33,0.730402514467337,0
67,48,0.945978484395343,0
68,29,0.846242109799396,0
69,78,0.928626367760693,0
70,525,0.879654936465666,1
71,21652,0.974239901449783,0
72,126,0.938186067508986,0
73,34,0.801778583793528,0
74,13,0,0
75,13,0,0
76,31,0.641445886419962,0
77,377,0.991477925683344,0
78,23,0.708664665903118,0
79,45,0.594349786986752,0
80,13,0,0
81,29,0.630206950268416,0
82,41,0.761795719828293,0
83,13,0,0
84,75,0.936031905675243,0
85,1019,0.979524857486295,0
86,2268,0.998099104876299,0
